features,k,n_samples,pos,neg,max_depth,min_samples_leaf,auc_loocv,acc_loocv,sens_loocv,spec_loocv,err
"diabetes_type,age,snap_sural_nerve,sas,npsi",5,35,18,17,4,3,0.9183006535947712,0.9142857142857143,0.9444444444444444,0.8823529411764706,
"group,diabetes_type,age,sex",4,35,18,17,3,4,0.9166666666666666,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,npsi",4,35,18,17,3,4,0.9166666666666666,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex",4,35,18,17,4,4,0.9166666666666666,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,npsi",4,35,18,17,4,4,0.9166666666666666,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll",4,35,18,17,3,4,0.9150326797385621,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll,npsi",5,35,18,17,3,4,0.9150326797385621,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll,npsi",5,35,18,17,3,4,0.9150326797385621,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll",4,35,18,17,4,4,0.9150326797385621,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll,npsi",5,35,18,17,4,4,0.9150326797385621,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll,npsi",5,35,18,17,4,4,0.9150326797385621,0.8857142857142857,1.0,0.7647058823529411,
"group,age,snap_sural_nerve,npsi",4,35,18,17,3,3,0.9150326797385621,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"diabetes_type,age,snap_sural_nerve,npsi",4,35,18,17,3,3,0.9150326797385621,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"group,age,sex,snap_sural_nerve,npsi",5,35,18,17,3,3,0.9150326797385621,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"group,age,snap_sural_nerve,nis_ll,npsi",5,35,18,17,3,3,0.9150326797385621,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"group,age,snap_sural_nerve,sas,npsi",5,35,18,17,3,3,0.9150326797385621,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"diabetes_type,age,sex,snap_sural_nerve,npsi",5,35,18,17,3,3,0.9150326797385621,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"diabetes_type,age,snap_sural_nerve,nis_ll,npsi",5,35,18,17,3,3,0.9150326797385621,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"diabetes_type,age,snap_sural_nerve,sas,npsi",5,35,18,17,3,3,0.9150326797385621,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"group,diabetes_type,age,npsi",4,35,18,17,3,2,0.915032679738562,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"diabetes_type,sex,nis_ll,npsi",4,35,18,17,4,2,0.9133986928104575,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age",2,35,18,17,3,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex",3,35,18,17,3,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,npsi",3,35,18,17,3,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll",4,35,18,17,3,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll",4,35,18,17,3,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age",2,35,18,17,4,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex",3,35,18,17,4,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,npsi",3,35,18,17,4,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll",4,35,18,17,4,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll",4,35,18,17,4,4,0.9133986928104574,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,npsi,ienfd_per_mm",4,35,18,17,4,3,0.9117647058823529,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"group,age,npsi",3,35,18,17,4,3,0.9117647058823528,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,npsi",5,35,18,17,4,3,0.9117647058823528,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,nis_ll",4,35,18,17,4,2,0.9101307189542482,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sas,npsi",4,35,18,17,4,3,0.9084967320261437,0.9428571428571428,1.0,0.8823529411764706,
"diabetes_type,age,sex,sas,npsi",5,35,18,17,4,3,0.9084967320261437,0.9142857142857143,0.9444444444444444,0.8823529411764706,
"group,age",2,35,18,17,3,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age",3,35,18,17,3,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex",3,35,18,17,3,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,age,npsi",3,35,18,17,3,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,npsi",4,35,18,17,3,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,npsi",5,35,18,17,3,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,sas,npsi",5,35,18,17,3,3,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,age",2,35,18,17,4,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age",3,35,18,17,4,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex",3,35,18,17,4,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,age,npsi",3,35,18,17,4,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,npsi",4,35,18,17,4,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,npsi",5,35,18,17,4,4,0.9084967320261437,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,snap_sural_nerve,npsi",5,35,18,17,3,3,0.9084967320261437,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"diabetes_type,age,sex,npsi,ienfd_per_mm",5,35,18,17,4,3,0.9084967320261437,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"diabetes_type,sex,hba1c_pct,nis_ll,npsi",5,35,18,17,4,2,0.9084967320261437,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,age,nis_ll,npsi",4,35,18,17,3,4,0.9068627450980391,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,npsi",4,35,18,17,3,4,0.9068627450980391,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,nis_ll",5,35,18,17,3,4,0.9068627450980391,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll,npsi",5,35,18,17,3,4,0.9068627450980391,0.8857142857142857,1.0,0.7647058823529411,
"group,age,nis_ll,npsi",4,35,18,17,4,4,0.9068627450980391,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,npsi",4,35,18,17,4,4,0.9068627450980391,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,nis_ll",5,35,18,17,4,4,0.9068627450980391,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll,npsi",5,35,18,17,4,4,0.9068627450980391,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,npsi",4,35,18,17,3,2,0.9068627450980391,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,duration_months,npsi",4,35,18,17,3,3,0.9068627450980391,0.8,0.8333333333333334,0.7647058823529411,
"group,sex,duration_months,npsi",4,35,18,17,3,3,0.9068627450980391,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,sex,duration_months,npsi",4,35,18,17,3,3,0.9068627450980391,0.8,0.8333333333333334,0.7647058823529411,
"diabetes_type,age,nis_ll,npsi",4,35,18,17,3,4,0.9052287581699345,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,sas,npsi",5,35,18,17,3,3,0.9052287581699345,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,nis_ll,npsi",4,35,18,17,4,4,0.9052287581699345,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,nis_ll,npsi",4,35,18,17,4,2,0.9052287581699345,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,npsi,ienfd_per_mm",5,35,18,17,3,3,0.9052287581699345,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"age,sex,hba1c_pct,npsi",4,35,18,17,3,2,0.9052287581699345,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"age,hba1c_pct,npsi,ienfd_per_mm",4,35,18,17,3,2,0.9052287581699345,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"age,sex,hba1c_pct,npsi",4,35,18,17,4,2,0.9052287581699345,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"age,hba1c_pct,npsi,ienfd_per_mm",4,35,18,17,4,2,0.9052287581699345,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,hba1c_pct,nis_ll,npsi",5,35,18,17,4,2,0.9052287581699345,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,sex,hba1c_pct,nis_ll,npsi",5,35,18,17,4,2,0.9052287581699345,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,age,nis_ll,npsi",4,35,18,17,4,2,0.90359477124183,0.8571428571428571,0.9444444444444444,0.7647058823529411,
"group,diabetes_type,age,snap_sural_nerve,npsi",5,35,18,17,4,2,0.9019607843137254,0.9142857142857143,1.0,0.8235294117647058,
"group,age",2,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age",2,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age",3,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex",3,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,npsi",3,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex",3,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,npsi",3,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex",4,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll",4,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,npsi",4,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll",4,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,npsi",4,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,nis_ll,npsi",4,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll",4,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,npsi",4,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,nis_ll,npsi",4,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,nis_ll",5,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,npsi",5,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll,npsi",5,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll,npsi",5,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll,npsi",5,35,18,17,2,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age",2,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age",2,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age",3,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex",3,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,npsi",3,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex",3,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,npsi",3,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex",4,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll",4,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,npsi",4,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll",4,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,npsi",4,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,nis_ll,npsi",4,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll",4,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,npsi",4,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,nis_ll,npsi",4,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,nis_ll",5,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,npsi",5,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll,npsi",5,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll,npsi",5,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll,npsi",5,35,18,17,2,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age",2,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age",2,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age",3,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex",3,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,npsi",3,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex",3,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,npsi",3,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex",4,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll",4,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,npsi",4,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll",4,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,npsi",4,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,nis_ll,npsi",4,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll",4,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,npsi",4,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,nis_ll,npsi",4,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,nis_ll",5,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,npsi",5,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll,npsi",5,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll,npsi",5,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll,npsi",5,35,18,17,2,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,hba1c_pct",2,35,18,17,3,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,hba1c_pct",3,35,18,17,3,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,snap_sural_nerve,sas",4,35,18,17,3,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,snap_sural_nerve,sas",5,35,18,17,3,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,nis_ll,sas,npsi",5,35,18,17,3,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,snap_sural_nerve,sas",5,35,18,17,3,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,nis_ll,sas,npsi",5,35,18,17,3,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,hba1c_pct",2,35,18,17,4,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,hba1c_pct",3,35,18,17,4,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,hba1c_pct,npsi",3,35,18,17,4,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,duration_months,hba1c_pct,sas",4,35,18,17,4,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,hba1c_pct,npsi",4,35,18,17,4,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,duration_months,hba1c_pct,sas",4,35,18,17,4,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,duration_months,hba1c_pct,sas",5,35,18,17,4,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,duration_months,hba1c_pct,sas",5,35,18,17,4,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,duration_months,hba1c_pct,sas",5,35,18,17,4,4,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,snap_sural_nerve,sas",4,35,18,17,4,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,snap_sural_nerve,sas",5,35,18,17,4,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,snap_sural_nerve,sas",5,35,18,17,4,3,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,nis_ll",3,35,18,17,4,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,snap_sural_nerve",3,35,18,17,4,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,nis_ll",3,35,18,17,4,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,snap_sural_nerve",5,35,18,17,4,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,snap_sural_nerve,sas",5,35,18,17,4,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,nis_ll,npsi",5,35,18,17,4,2,0.9019607843137254,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,nis_ll,npsi,ienfd_per_mm",5,35,18,17,3,3,0.9019607843137254,0.8571428571428571,0.9444444444444444,0.7647058823529411,
