features,k,n,max_depth,min_leaf,auc_loocv,acc_loocv,sens,spec
"age,sex,hba1c_pct,npsi",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,ienfd_per_mm",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve,npsi",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve,ienfd_per_mm",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,npsi,ienfd_per_mm",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve,npsi",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve,ienfd_per_mm",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,npsi,ienfd_per_mm",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,npsi",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,ienfd_per_mm",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,npsi,ienfd_per_mm",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,nis_ll,npsi,ienfd_per_mm",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
hba1c_pct,1,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct",2,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct",2,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve",2,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,npsi",2,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,ienfd_per_mm",2,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,npsi",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,ienfd_per_mm",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,npsi",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,ienfd_per_mm",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,npsi",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,ienfd_per_mm",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,npsi,ienfd_per_mm",3,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,snap_sural_nerve",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,npsi",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,ienfd_per_mm",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve,npsi",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve,ienfd_per_mm",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,npsi,ienfd_per_mm",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve,npsi",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve,ienfd_per_mm",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,npsi,ienfd_per_mm",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,npsi",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,ienfd_per_mm",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,npsi,ienfd_per_mm",4,35,2,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
hba1c_pct,1,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct",2,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct",2,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve",2,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,npsi",2,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,ienfd_per_mm",2,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,npsi",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,ienfd_per_mm",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,npsi",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,ienfd_per_mm",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,npsi",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,ienfd_per_mm",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,npsi,ienfd_per_mm",3,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,snap_sural_nerve",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,npsi",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,ienfd_per_mm",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve,npsi",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve,ienfd_per_mm",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,npsi,ienfd_per_mm",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve,npsi",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve,ienfd_per_mm",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,npsi,ienfd_per_mm",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,npsi",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,ienfd_per_mm",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,npsi,ienfd_per_mm",4,35,2,2,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
hba1c_pct,1,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct",2,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct",2,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve",2,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,npsi",2,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,ienfd_per_mm",2,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,npsi",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,ienfd_per_mm",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,npsi",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,ienfd_per_mm",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,npsi",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,ienfd_per_mm",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,npsi,ienfd_per_mm",3,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,snap_sural_nerve",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,npsi",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,ienfd_per_mm",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve,npsi",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve,ienfd_per_mm",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,npsi,ienfd_per_mm",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve,npsi",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve,ienfd_per_mm",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,npsi,ienfd_per_mm",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,npsi",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,ienfd_per_mm",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,npsi,ienfd_per_mm",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,nis_ll,npsi,ienfd_per_mm",4,35,3,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
hba1c_pct,1,35,3,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct",2,35,3,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct",2,35,3,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve",2,35,3,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,npsi",2,35,3,3,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
